game_number,120,150,180,210,240,300,label_code,label,predicted_limit,predicted_direction,correct
84,0.10388908477143773,0.3191374801668919,0.26006546558017146,0.29488813882196235,0.022019830659536544,0.0,3,180,180,Under,True
85,0.045084776334776325,0.26694173881673877,0.32113430550930555,0.20757154882154882,0.14129625004625004,0.01797138047138047,4,210,210,Under,True
86,0.06518664084453558,0.24446661160476948,0.19595924908424908,0.3030589038154827,0.1501130996196786,0.0412154950312845,3,180,210,Under,True
87,0.12022213897213896,0.37523698523698534,0.1830645743145743,0.2073767898767899,0.08024191086691086,0.03385760073260073,4,210,180,Under,False
88,0.06080627705627706,0.23980790043290043,0.399083694083694,0.24449855699855702,0.03919642857142856,0.016607142857142855,2,150,180,Under,True
89,0.07568722943722944,0.1893928293928294,0.35824710012210015,0.2757165750915751,0.0896557609057609,0.01130050505050505,4,210,210,Under,True
90,0.06269119769119769,0.20002546065046065,0.3517941086691086,0.24204711954711958,0.1046257215007215,0.03881639194139194,2,150,210,Under,True
91,0.25776334776334775,0.3151623376623376,0.19445494864612511,0.1653641456582633,0.03828463203463204,0.028970588235294116,1,120,180,Under,True
92,0.036955266955266956,0.27074449855699856,0.4126907467532468,0.22569895382395386,0.048910533910533904,0.005,2,150,180,Under,True
93,0.12867424242424239,0.1772849025974026,0.3864402958152958,0.23662067099567094,0.07097988816738818,0.0,3,180,180,Under,True
94,0.039999999999999994,0.07324252136752137,0.23196726884226876,0.5011072954822954,0.14150342712842712,0.012179487179487178,4,210,180,Over,True
95,0.10679847929847927,0.2464543095793096,0.36728056665556663,0.25784659784659786,0.021620046620046622,0.0,3,180,180,Under,True
96,0.08523469585969587,0.1991454725829726,0.3585888764013764,0.31042839105339104,0.03608974358974359,0.01051282051282051,3,180,210,Under,True
97,0.01956349206349206,0.12542367354867356,0.34170170107670106,0.4141139416139416,0.09919719169719168,0.0,3,180,210,Under,True
98,0.03567821067821068,0.2031664862914863,0.18352050727050725,0.4904842379842379,0.048405136530136526,0.03874542124542125,4,210,210,Under,True
99,0.025555555555555554,0.08211524178435943,0.2789811536502712,0.35465563031739494,0.17311924186924185,0.08557317682317683,4,210,180,Over,True
100,0.07630411255411254,0.2619787157287157,0.35613546176046185,0.21633026695526697,0.07523178210678211,0.014019660894660895,3,180,180,Under,True
101,0.09081349206349207,0.20889610389610386,0.47185696248196257,0.20732233044733045,0.021111111111111112,0.0,2,150,180,Under,True
102,0.014980158730158729,0.1473148892730936,0.39578553391053395,0.3737389261924865,0.01825051990493167,0.049929971988795514,4,210,210,Under,True
103,0.061111111111111116,0.1518587662337662,0.3807541763791764,0.2561473248973249,0.13950362137862135,0.010624999999999999,3,180,210,Under,True
104,0.0807836485410015,0.21700849803790984,0.36643361132331725,0.25913951244833605,0.06389663441134029,0.012738095238095238,2,150,180,Under,True
105,0.013068181818181817,0.19470356032856037,0.3147626678876679,0.3621441058941059,0.09173756798756798,0.023583916083916086,4,210,210,Under,True
106,0.04127372627372628,0.29527250527250526,0.24678564491064486,0.2332782495282495,0.11541638916638916,0.06797348484848484,4,210,210,Under,True
107,0.09255952380952381,0.13789682539682538,0.48409090909090924,0.18589556277056277,0.0877389971139971,0.011818181818181818,4,210,180,Under,False
108,0.03019841269841269,0.05077020202020203,0.2973313492063491,0.5406123737373736,0.05918290043290044,0.021904761904761906,1,120,180,Over,False
109,0.08844017094017094,0.20409264346764347,0.25809371184371177,0.2921140664890664,0.12374542124542125,0.033513986013986016,3,180,210,Under,True
110,0.06521284271284271,0.1809641053391053,0.37449494949494944,0.23229617604617606,0.12970869408369406,0.017323232323232324,4,210,210,Under,True
111,0.16243055555555558,0.27486582861582864,0.21108176545676544,0.28920121545121547,0.028710317460317457,0.03371031746031746,4,210,210,Under,True
112,0.0546504884004884,0.15204906204906204,0.4040882034632034,0.32668345543345545,0.04542506105006105,0.017103729603729603,3,180,210,Under,True
113,0.04075757575757576,0.19445915195915195,0.4046723646723647,0.24901212213712215,0.09420063732563731,0.016898148148148145,3,180,210,Under,True
114,0.07087301587301587,0.10547008547008548,0.3623461954711954,0.3629079254079254,0.08034722222222222,0.018055555555555554,5,240,210,Under,False
115,0.08891374707164182,0.30561737056802846,0.11725607725607726,0.29716438167096065,0.14229310711218607,0.0487553163211058,3,180,210,Under,True
116,0.11611548174048174,0.145966810966811,0.3805785187035187,0.275020535020535,0.06912420912420912,0.013194444444444444,2,150,210,Under,True
117,0.1785773703420762,0.17328776207452676,0.2865946757490875,0.2964684131228249,0.05087535014005602,0.014196428571428572,3,180,210,Under,True
118,0.32724941724941725,0.2931208374958375,0.25502657065157064,0.10168650793650794,0.022916666666666665,0.0,3,180,180,Under,True
119,0.05746617965367965,0.2606164321789322,0.3002123917748918,0.27719606782106776,0.07673115079365078,0.02777777777777778,3,180,210,Under,True
120,0.08603715728715729,0.1395661283161283,0.23593462093462092,0.42740849428349426,0.07083263958263958,0.0402209595959596,4,210,210,Under,True
121,0.2406746031746032,0.33871031746031743,0.28998015873015864,0.07259920634920633,0.04345238095238095,0.014583333333333332,1,120,180,Under,True
122,0.047896825396825396,0.3151280663780664,0.23117514430014435,0.27735389610389605,0.11469606782106782,0.013750000000000002,3,180,210,Under,True
123,0.2534550865800866,0.24748466810966813,0.23776827339327342,0.21415216727716727,0.04713980463980463,0.0,3,180,180,Under,True
124,0.07784722222222222,0.2670508658008658,0.09966360028860029,0.5055474386724386,0.029196428571428568,0.020694444444444446,3,180,210,Under,True
125,0.11679499830235127,0.2258010249554367,0.4400672693319752,0.15060637891520243,0.06673032849503437,0.0,2,150,180,Under,True
126,0.06273989898989898,0.1038212481962482,0.19161616161616163,0.4396374458874458,0.19197601010101006,0.01020923520923521,3,180,180,Over,False
127,0.05083784271284271,0.208989898989899,0.5192379148629149,0.11411886724386722,0.1068154761904762,0.0,3,180,180,Under,True
128,0.008173076923076924,0.13977272727272724,0.3982149794649795,0.32309100621600617,0.09533154345654346,0.035416666666666666,4,210,210,Under,True
129,0.029177489177489174,0.28551448551448555,0.3567330586080587,0.27116883116883117,0.05740613553113553,0.0,4,210,180,Under,False
130,0.07663808413808414,0.2661449661449661,0.38294846357346357,0.16051187238687242,0.10925925925925925,0.004497354497354497,3,180,180,Under,True
131,0.05014575702075702,0.22720716783216788,0.19944895382395383,0.3788153513153513,0.12063277000777,0.02375,4,210,210,Under,True
132,0.06885010822510822,0.2267866161616162,0.2845472582972584,0.28814754689754685,0.11944624819624819,0.012222222222222221,3,180,210,Under,True
133,0.09049377705627705,0.28354752886002893,0.2426516885891886,0.3135690004440005,0.0515435606060606,0.018194444444444444,2,150,210,Under,True
134,0.03169642857142857,0.06853365384615384,0.31755208435355486,0.4715859650969946,0.06353174603174602,0.0471001221001221,3,180,180,Over,False
135,0.053892496392496395,0.19031746031746033,0.3498349567099567,0.241228354978355,0.11551767676767677,0.04920905483405484,4,210,210,Under,True
136,0.05074585137085137,0.1208459595959596,0.38266892829392823,0.33000194250194254,0.10073731823731824,0.015,3,180,210,Under,True
137,0.11388888888888889,0.10814116439116439,0.4342724636474637,0.23478909978909973,0.10057504995004996,0.008333333333333333,3,180,180,Under,True
138,0.03848443223443223,0.14449526168276167,0.29273691586191586,0.3575573731823732,0.13821907259407262,0.02850694444444445,3,180,210,Under,True
139,0.05762896825396825,0.1338933982683983,0.39155032467532463,0.2844462481962482,0.11045725108225106,0.022023809523809522,3,180,210,Under,True
140,0.12167506105006105,0.31144612332112337,0.2978647741147741,0.25682310744810743,0.012190934065934066,0.0,2,150,180,Under,True
141,0.07830983709273184,0.15300342201657996,0.25223977411477405,0.3808561066126856,0.10872240697898591,0.026868453184242656,4,210,210,Under,True
